start_date_type,start_date,country,geo_scope,area_name,shutdown_type,affected_network,shutdown_extent,ordered_by,decision_maker,actual_cause,actual_cause_details,info_source,info_source_link,shutdown_status,end_date,duration,gov_justification,gov_just_details,gov_ack,legal_just,legal_method,gov_ack_source,gov_ack_quote,facebook_affected,twitter_affected,whatsapp_affected,instagram_affected,telegram_affected,other_affected,sms_affected,phonecall_affected,telcos_involved,telco_ack,telco_ack_source,telco_ack_quote,election,violence,hr_abuse_reported,users_targeted,users_target_detail,users_notified,econ_impact,event,an_link,region
,1/1/2009,Pakistan,"It only affected one city, county, or village","Wana, South Waziristan",Shutdown,Mobile,Full network,Local government,,Conflict,,News media article,https://nation.com.pk/05-May-2018/govt-to-restore-mobile-phone-services-in-wana-after-10-years,,5/5/2018,3411,National security/ Counter-terrorism,,,,,,,,,,,,,,,,,,,,,,,,,52437355 / year,NA,NA,APAC
,5/1/2010,Yemen,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,,Other,,News media article,https://reliefweb.int/report/yemen/skype-banned-yemen-protect-state-monopoly-over-international-calls,Ongoing,,,Unknown,,,,,,,,,,,,Skype,,,,,,,,,,,,,NA,NA,NA,MENA
Actual,9/11/2013,Turkey,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Turkey's Directorate of Telecommunication following Istanbul's Criminal Court of Peace,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=TR&since=2023-01-01&until=2023-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://kaosgl.org/en/single-news/grindr-ban-in-turkey-taken-to-constitutional-court,Ongoing,,,Other,"""Protective measure""",Yes,Yes,,https://www.independent.co.uk/tech/gay-hookup-app-grindr-fights-back-against-turkish-ban-with-threat-of-legal-action-8829360.html,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Turkey since Sep. 11, 2013, and is ongoing into 2024. The block was in place at the start of our STOP documentation on Jan. 1, 2016.",,MENA
Actual,6/12/2016,Pakistan,"It affected more than one city in the same state, province, or region",Federally Administered Tribal Area (FATA),Shutdown,Mobile,Full network,Executive government,The Pakistan Telecommunication Authority (PTA),Conflict,Conflict between Afghanistan and Pakistan forces,News media article,"https://slate.com/technology/2017/08/the-internet-has-been-shut-down-in-pakistans-fata-for-more-than-a-year.html; https://www.digitalrightsmonitor.pk/mobile-internet-restored-in-former-fatas-kurram-agency/#:~:text=The%20internet%20in%20seven%20districts,border%20joining%20Pakistan%20and%20Afghanistan.;",Ended,12/28/2021,2026,National security/ Counter-terrorism,"In January 2021, while speaking at a rally in Waziristan, Prime Minister Imran Khan announced that 3G/4G internet services will be restored in the district from that day. He said at the ceremony, “I spoke to my security agencies […] we agreed that we need to be cognizant of terrorists using [3G/4G] facility. Despite this, we also thought that it is the need of our young people and that is why this service will become operational from today.”",Yes,Unknown,,https://www.pta.gov.pk/en/media-center/single-media/data-services-restored-in-district-kurram-291221,"In pursuance of Government’s vision of providing internet services across the country, after review of security situation by concerned forums, data services have been restored in District Kurram.

It is pertinent to mention that data services have been restored in six (6) out of seven (7) districts of Erstwhile FATA.

It may be further added the the restoration of data services will help residents to fulfill their educational, health, commerce and communication needs.",No,No,No,No,No,,No,No,"Pakistan: Jazz (Global Telecom), Pakistan: PTCL, Pakistan: Qubee (Augere), Pakistan: Special Communications Organization, Pakistan: Telenor, Pakistan: Wateen Telecom (Abu Dhabi), Pakistan: wi-tribe, Pakistan: Zong (China Mobile)",Unknown,,,No,Unknown,Unknown,"Students, people need healthcare during COVID, and small businesses","While many students staged protests to demand internet access for online classes, a student of National University of Modern Languages (NUML) petitioned the Islamabad High Court (IHC) in April 2020 to restore access in former FATA. The IHC ordered PTA to enable 3G/4G broadband internet as a response, but the Federal Government sought more time to assess security conditions before the restoration. The Court, at the time, said, “This is not occupied Kashmir, therefore people of these areas are free to exercise their constitutionally guaranteed fundamental rights.” It further observed, “It appears that there is no refusal on part of the Federal Government to extend the internet facilities to the inhabitants of [FATA] […]. However, it appears that due to the exceptional conditions that had prevailed in the past, the respective Governments and the Pakistan Telecommunication Authority may require time to develop the infrastructure in some affected areas.”",Unknown,,,https://www.accessnow.org/pakistanis-long-suffered-internet-shutdowns-last-voices-heard/,APAC
Actual,9/15/2016,Indonesia,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Communications Ministry following a request from police,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=ID&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://time.com/4496531/indonesia-lgbt-grinder/,Ongoing,,,Other,"Authorities were targeting services that promoted ""sexual deviancy""",Yes,No,,https://tribune.com.pk/story/1182120/indonesia-blocks-gay-apps-sexual-deviancy/,,No,No,No,No,No,"Grindr, Blued, BoyAhoy",No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr and at least two other apps have been blocked in Indonesia since Sep. 15, 2016, and are ongoing into 2024.",,APAC
Estimated,10/28/2016,United Arab Emirates,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=AE&since=2016-01-01&until=2016-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=AE&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com,Ongoing,,,Unknown,,No,No,,,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in the United Arab Emirates since at least Oct. 28, 2016, and the block is ongoing into 2024. The blocking is currently implemented by means of TLS interference.",,MENA
Estimated,2/9/2017,Saudi Arabia,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=SA&since=2017-01-01&until=2017-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=SA&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com,Ongoing,,,Unknown,,No,No,,,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Saudi Arabia since at least Feb. 9, 2017, and the block is ongoing into 2024. The blocking is currently implemented by means of TLS interference.",,MENA
Estimated,5/12/2017,Iran (Islamic Republic of),"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=IR&since=2017-01-01&until=2017-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=IR&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com,Ongoing,,,Unknown,,No,,,,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Iran since at least May 12, 2017, and is ongoing into 2024.",,MENA
,1/1/2018,Ethiopia,"It affected locations in more than one state, province, or region",All regions except Addis Abeba,Shutdown,Mobile,Full network,Executive government,,Protests,,News media article,https://www.reuters.com/article/us-ethiopia-internet/ethiopia-ends-web-blackout-raising-hopes-of-reforms-under-new-pm-idUSKBN1HN1K9,,4/16/2018,105,National security/ Counter-terrorism,,,,,,,,,,,,,,,,,,,,,,,,,"455,839,300",NA,NA,Africa
,1/2/2018,India,"It only affected one city, county, or village","Bundi Town, Rajasthan",Shutdown,Mobile,Full network,Local government,,Protests,,News media article,https://www.pinkcitypost.com/internet-services-suspended-bundi-following-clashes/,,1/9/2018,7,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,,,,,,,,,,,,,,,,,,,,,,,,"1,679,389",Religious gathering,NA,APAC
,1/3/2018,India,"It only affected one city, county, or village",Aurangabad district of Maharashtra,Shutdown,"Broadband, Mobile",Full network,Local government,,Communal violence,,News media article,https://www.oneindia.com/india/maharashtra-bandh-internet-services-suspended-in-aurangabad-2612897.html,Unknown,,,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,,,,,,,,,,,,,,,,,,,,,,,,"$768,292",,,APAC
,1/3/2018,India,"It only affected one city, county, or village",Kolhapur district of Maharashtra,Shutdown,"Broadband, Mobile",Full network,Local government,,Protests,,News media article,http://www.asianage.com/metros/mumbai/040118/16-firs-registered-over-300-detained-in-mumbai-after-maharashtra-bandh.html,,1/4/2018,1,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,"390,133",,,APAC
,1/8/2018,India,"It only affected one city, county, or village","Budgam, Kashmir",Shutdown,Mobile,Full network,Local government,,Political instability,,News media article,http://www.greaterkashmir.com/news/kashmir/chadoora-gunfight-internet-service-suspended-in-budgam/271568.html,,,,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,1/9/2018,Philippines,"It only affected one city, county, or village","Quiapo, Manila, and Cavite",Shutdown,Mobile,Full network,Executive government,,Other,,News media article,https://technology.inquirer.net/71126/globe-mobile-services-suspended-quiapo-january-9-black-nazarene-procession,,1/9/2018,1,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,"3,011,350",Black Nazarene procession.,,APAC
,1/10/2018,India,"It affected more than one city in the same state, province, or region","Southern Kashmir division, Jammu & Kashmir province",Shutdown,"Broadband, Mobile",Full network,State government,,Protests,,News media article,http://www.uniindia.com/strike-cripples-life-in-some-areas-of-south-kashmir-internet-suspended/states/news/1101530.html,,,,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,1/21/2018,Congo (Democratic Republic of the),"It affected locations in more than one state, province, or region","Goma, Bukavu, Kinshasa",Shutdown,"Broadband, Mobile",Full network,Executive government,,Protests,,News media article,https://www.news24.com/Africa/News/dr-congo-blocks-internet-ahead-of-banned-protests-20180121,,1/24/2018,3,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,Yes,,,,,,,,,,,,"968,171",Church-organized protests against President Kabila.,,Africa
,1/24/2018,India,"It affected more than one city in the same state, province, or region","Pulwama, Anantnag, Kulgam and Shopian districts of south Kashmir",Throttle,"Broadband, Mobile",Full network,State government,,Protests,,News media article,https://www.thekashmirmonitor.net/shopian-killings-valley-shuts-mourning/,,,,National security/ Counter-terrorism,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,1/25/2018,Chad,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Full network,Executive government,,Protests,,News media article,http://www.itwebafrica.com/ict-and-governance/367-chad/242590-chad-restores-internet-access-after-shutdown,,1/26/2018,1,National security/ Counter-terrorism,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
,1/25/2018,India,"It affected more than one city in the same state, province, or region","Kashmir division, Jammu & Kashmir province",Shutdown,Mobile,Full network,State government,,Protests,,News media article,http://www.uniindia.com/mobile-internet-services-suspended-in-kashmir/states/news/1117839.html,,,,National security/ Counter-terrorism,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,1/27/2018,India,"It affected more than one city in the same state, province, or region",Kasganj district and west of Uttar Pradesh,Shutdown,"Broadband, Mobile",Full network,State government,,Protests,,News media article,"https://www.news18.com/news/india/kasganj-49-arrested-borders-sealed-and-internet-shut-down-after-second-day-of-violence-1643427.html, https://www.outlookindia.com/website/story/fresh-violence-in-ups-kasganj-city-shops-and-buses-torched/307433",,1/28/2018,1,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,1/28/2018,India,"It affected more than one city in the same state, province, or region","Kashmir valley outside of Pulwama, Anantnag, Kulgam and Shopian districts in Jammu and Kashmir State",Throttle,"Broadband, Mobile",Full network,State government,,Protests,,News media article,https://www.deccanchronicle.com/nation/current-affairs/280118/2-youth-killed-army-firing-internet-suspended-kashmir-separatists-stri.html,,,,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,1/28/2018,India,"It affected more than one city in the same state, province, or region","Pulwama, Anantnag, Kulgam and Shopian districts in Jammu and Kashmir State",Throttle,"Broadband, Mobile",Full network,State government,,Protests,,News media article,https://www.deccanchronicle.com/nation/current-affairs/280118/2-youth-killed-army-firing-internet-suspended-kashmir-separatists-stri.html,,,,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,A strike called to protest the (claimed) killing of two young people by the army.,,APAC
,2/3/2018,India,"It only affected one city, county, or village","Baramulla city (perhaps including environs), Jammu & Kashmir State",Shutdown,Mobile,Full network,Local government,,Political instability,,News media article,http://www.risingkashmir.com/news/internet-restored-in-north-kashmir,,2/4/2018,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,2/8/2018,South Korea,"It only affected one city, county, or village","Pyeongchang County, Gangwon Province",Shutdown,"Broadband, Mobile",Full network,Non-government,,Other,,News media article,https://www.nytimes.com/2018/02/12/technology/winter-olympic-games-hack.html,,2/11/2018,3,Unknown,,,,,,,,,,,,TeleCast,,,,,,,,,,,,,,,,APAC
,2/11/2018,India,"It affected more than one city in the same state, province, or region","Jalore, Dhaulpur, Bikaner, Sikar, Karauli in Rajasthan",Shutdown,"Broadband, Mobile",Full network,State government,,Exam cheating,,CSO KIO partners,https://sflc.in/rti-reply-rajasthan-home-department-reveals-21-unreported-internet-shutdowns,,,,School Exams,,,,,,,,,,,,,,,,,,,,,,,,,,RTI Request,,APAC
,2/11/2018,Bangladesh,"It affected locations in more than one state, province, or region",Nationwide,Throttle,"Broadband, Mobile",Full network,Executive government,,Exam cheating,,News media article,https://bdnews24.com/bangladesh/2018/02/12/btrc-reverses-internet-outage-plan-to-fight-ssc-question-leaks,,2/11/2018,0.02,School Exams,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,2/11/2018,Bangladesh,"It affected locations in more than one state, province, or region",Nationwide,Throttle,"Broadband, Mobile",Full network,Executive government,,Unknown,,News media article,https://bdnews24.com/bangladesh/2018/02/12/btrc-reverses-internet-outage-plan-to-fight-ssc-question-leaks,,2/11/2018,0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,2/12/2018,India,"It only affected one city, county, or village","Srinagar city, Kashmir",Throttle,Mobile,Full network,Executive government,,Political instability,,News media article,https://www.greaterkashmir.com/news/kashmir/high-speed-mobile-internet-service-suspended-in-srinagar-as-gunfight-rages-in-karan-nagar/275530.html,,2/13/2018,1,National security/ Counter-terrorism,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,2/16/2018,India,"It only affected one city, county, or village",Firozabad,Shutdown,Mobile,Full network,Local government,,Other,,News media article,http://indianexpress.com/article/india/firozabad-three-bjym-members-booked-for-assaulting-police-two-muslims-5068285/,,2/17/2018,1,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,2/18/2018,India,"It only affected one city, county, or village","Tonk, Rajasthan",Shutdown,Mobile,Full network,Local government,,Communal violence,,News media article,https://www.business-standard.com/article/pti-stories/raj-mobile-internet-services-suspended-for-24-hrs-after-two-communities-clash-118021800622_1.html,,2/19/2018,1,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,2/25/2018,Congo (Democratic Republic of the),"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Full network,Executive government,,Protests,,News media article,https://twitter.com/lawyerpants/status/967800749735534593,,2/25/2018,0.42,Unknown,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Africa
,3/1/2018,India,"It only affected one city, county, or village",Bandipora district of Jammu and Kashmir,Shutdown,Mobile,Full network,Local government,,Political instability,,News media article,https://kashmirreader.com/2018/03/02/another-pakistani-militant-killed-in-hajin/,,3/2/2018,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,3/4/2018,India,"It affected more than one city in the same state, province, or region",Shopian and Pulwama districts of Jammu and Kashmir and the rest of the valley,Throttle,Mobile,Full network,Local government,,Political instability,,News media article,http://www.risingkashmir.com/news/kashmir-on-boil-after-six-killings--320785.html,,3/6/2018,2,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,3/7/2018,Ethiopia,"It affected more than one city in the same state, province, or region",Oromia region,Shutdown,"Broadband, Mobile",Full network,Executive government,,Protests,,News media article,http://www.africanews.com/2018/03/21/unexplained-internet-blackout-in-ethiopia-s-oromia-region//,,4/16/2018,40,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
,3/7/2018,Sri Lanka,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,,Communal violence,,News media article,https://www.reuters.com/article/us-sri-lanka-clashes-socialmedia/sri-lanka-lifts-ban-on-facebook-imposed-after-spasm-of-communal-violence-idUSKCN1GR31R,,3/15/2018,8,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,,,,,,Yes,,Yes,,,Viber,,,,,,,,,,,,,,,,APAC
,3/8/2018,India,"It only affected one city, county, or village",Baramula and Delina area,Shutdown,"Broadband, Mobile",Full network,Local government,,Political instability,,News media article,https://kashmirlife.net/internet-services-snapped-in-baramulla-district-167494/,,3/9/2018,1,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,3/12/2018,India,"It only affected one city, county, or village",Srinagar and south Kashmir area,Throttle,"Broadband, Mobile",Full network,Local government,,Political instability,,News media article,https://kashmirlife.net/hakoora-gunfight-internet-services-suspended-in-srinagar-167889/,,3/13/2018,1,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,3/15/2018,Kazakhstan,"It affected locations in more than one state, province, or region",Nationwide,Throttle,"Broadband, Mobile",Full network,Executive government,,Information control,,News media article,https://eurasianet.org/kazakhstan-is-throttling-the-internet-when-the-presidents-rival-is-online,Ongoing,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,EECA
,3/17/2018,India,"It only affected one city, county, or village",Bhagalpur district of Bihar,Shutdown,"Broadband, Mobile",Full network,Local government,,Communal violence,,News media article,https://www.business-standard.com/article/politics/union-mos-ashwini-choubey-s-son-booked-for-communal-clashes-in-bhagalpur-118031900194_1.html,,3/19/2018,2,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,3/18/2018,India,"It only affected one city, county, or village","Tonk, Rajasthan",Shutdown,"Broadband, Mobile",Full network,Local government,,Communal violence,,News media article,https://swarajyamag.com/insta/stones-pelted-from-mosque-on-hindu-rally-in-rajasthans-tonk-several-including-cops-injured,,3/19/2018,1,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,3/21/2018,Pakistan,"It only affected one city, county, or village","Islamabad, Rawalpindi",Shutdown,Mobile,Full network,Executive government,,Other,,News media article,https://www.samaa.tv/news/2018/03/mobile-phone-islamabad-traffic-plan/,,3/21/2018,0.21,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
