start_date_type,start_date,country,geo_scope,area_name,shutdown_type,affected_network,shutdown_extent,ordered_by,decision_maker,actual_cause,actual_cause_details,info_source,info_source_link,shutdown_status,end_date,duration,gov_justification,gov_just_details,gov_ack,legal_just,legal_method,gov_ack_source,gov_ack_quote,facebook_affected,twitter_affected,whatsapp_affected,instagram_affected,telegram_affected,other_affected,sms_affected,phonecall_affected,telcos_involved,telco_ack,telco_ack_source,telco_ack_quote,election,violence,hr_abuse_reported,users_targeted,users_target_detail,users_notified,econ_impact,event,an_link,region
Actual,9/11/2013,Turkey,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Turkey's Directorate of Telecommunication following Istanbul's Criminal Court of Peace,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=TR&since=2023-01-01&until=2023-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://kaosgl.org/en/single-news/grindr-ban-in-turkey-taken-to-constitutional-court,Ongoing,,,Other,"""Protective measure""",Yes,Yes,,https://www.independent.co.uk/tech/gay-hookup-app-grindr-fights-back-against-turkish-ban-with-threat-of-legal-action-8829360.html,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Turkey since Sep. 11, 2013, and is ongoing into 2024. The block was in place at the start of our STOP documentation on Jan. 1, 2016.",,MENA
,1/26/2016,India,"It affected more than one city in the same state, province, or region",Kashmir,Shutdown,"Broadband, Mobile",Full network,Local government,,Protests,,News media article,http://indianexpress.com/article/india/india-news-india/republic-day-2016-celebrations-pass-off-peacefully-in-kashmir/,,1/26/2016,0,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,Republic Day,,APAC
,2/16/2016,Morocco,"It affected locations in more than one state, province, or region",nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,,Other,,News media article,http://www.middleeasteye.net/columns/boycotts-appeals-petitions-restore-blocked-voip-calls-morocco-1520817507,,,,Other,,,,,,,,,,,,VoIP,,Yes,,,,,,,,,,,"$1,760,747",,https://www.accessnow.org/etisalat-shuts-off-services-in-egypt-and-morocco/,MENA
,2/18/2016,Uganda,"It affected locations in more than one state, province, or region",nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,,Elections,,News media article,http://www.theatlantic.com/international/archive/2016/02/uganda-election-social-media-shutdown/463407/,,2/21/2016,3,National security/ Counter-terrorism,,,,,,,,,,,,Social Media,,,,,,,,,,,,,"$432,123",,https://www.accessnow.org/joint-letter-uganda-social-media-blackout/,Africa
,2/19/2016,India,"It affected more than one city in the same state, province, or region","Rohtak, Sonipat and Jhajjar (Haryana)",Shutdown,"Broadband, Mobile",Full network,Local government,,Protests,,News media article,http://www.medianama.com/2016/02/223-haryana-blocks-mobile-internet/,,2/22/2016,3,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Jat protests,,APAC
,2/22/2016,India,"It affected more than one city in the same state, province, or region","Bharatpur district, Rajasthan state",Shutdown,"Broadband, Mobile",Full network,Unknown,,Protests,,News media article,http://indianexpress.com/article/india/india-news-india/jat-quota-protests-in-rajasthan-districts-called-off/,,2/23/2016,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Protests by the Jat community calling for reservations (special government entitlements) as OBC or Other Backwards Class (a group which is acknowledged to be disadvantaged by the government). Jat communities in the district had been denied this status, despite the fact that Jats in other regions had been granted it by their regional governments.",,APAC
,2/28/2016,India,"It affected more than one city in the same state, province, or region",Mehasana district,Shutdown,Mobile,Full network,Local government,,Information control,,News media article,deshgujarat.com/2016/02/26/prohibitory-orders-and-mobile-internet-ban-in-mahesana-on-february-28/,,2/28/2016,0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"From shutdowns.in: ""Patidar Anamat Andolan Samiti (PAAS) decided to continue with their women's conference despite being officially refused permission by the district Government.""",,APAC
,2/28/2016,India,"It affected more than one city in the same state, province, or region",Gujarat state,Shutdown,"Broadband, Mobile",Full network,Local government,,Unknown,,News media article,http://www.medianama.com/2016/02/223-gujarat-bans-mobile-internet-to-prevent-cheating-in-an-exam/,,2/28/2016,0,School Exams,,,,,,,,,,,,,,,,,,,,,,,,,,Revenue Accountants Recruitment Exam. Mobile Internet services off from 9AM to 1 PM.,,APAC
,3/17/2016,Saudi Arabia,"It affected locations in more than one state, province, or region",nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,,Other,,News media article,http://www.deccanchronicle.com/technology/mobiles-and-tabs/170516/after-whatsapp-facebook-messenger-gets-banned-in-saudi-arabia.html,,,,Unknown,,,,,,,,,,,,VoIP,,Yes,,,,,,,,,,,,,,MENA
,3/18/2016,India,"It affected more than one city in the same state, province, or region",Rhotak and Jajjar districts and others in Haryana state,Shutdown,Mobile,Full network,Unknown,,Protests,,News media article,"http://indianexpress.com/article/india/india-news-india/jat-reservation-agitation-mobile-internet-haryana/, http://www.ndtv.com/india-news/jat-stir-mobile-internet-services-restored-in-haryana-1288663",,3/18/2016,0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Mass protest by the Jat community calling for classification as OBC or Other Backwards Class (a group which is acknowledged to be disadvantaged by the government), which would make them eligible for affirmative action. Accompanied by orders prohibiting assembly offive or more people in some districts, including Sonipat.",,APAC
