start_date_type,start_date,country,geo_scope,area_name,shutdown_type,affected_network,shutdown_extent,ordered_by,decision_maker,actual_cause,actual_cause_details,info_source,info_source_link,shutdown_status,end_date,duration,gov_justification,gov_just_details,gov_ack,legal_just,legal_method,gov_ack_source,gov_ack_quote,facebook_affected,twitter_affected,whatsapp_affected,instagram_affected,telegram_affected,other_affected,sms_affected,phonecall_affected,telcos_involved,telco_ ack,telco_ack_source,telco_ack_quote,election,violence,hr_abuse_reported,users_targeted,users_target_detail,users_notified,econ_impact,event,an_link,region
,2/23/2019,India,"It only affected one city, county, or village","Rajouri and Poonch, Jammu and Kashmir",Shutdown,Mobile,"Full network, Service-based",Local government,District police,Communal violence,,News media article,"https://www.greaterkashmir.com/(X(1)S(pesdra55wmmyjbyqvfn0l545))/news/pir-panjal/mobile-internet-service-remains-suspended-in-rajouri-poonch/314087.html

https://indianexpress.com/article/india/jk-section-144-in-poonch-rajouri-after-shops-vehicles-set-on-fire-5598369/",,,,Other,Precautionary Measure,Yes,Yes,Section 144 of CrPC,,,Yes,No,Yes,No,No,,No,,,Unknown,,,No,Yes,No,Others,,Yes,,"Internet shutdown in twin districts of Rajouri and Poonch after making apprehensions of some law and order problem, following setting ablaze of two shops in Medhar town. Jammu District Magistrate Ramesh Kumar had also asked admins of all WhatsApp groups in the area to register themselves with the police stations concerned and put some restrictions on putting up messages on the medium for the time being.",,APAC
,2/28/2019,Venezuela (Bolivarian Republic of),"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Information control,,CSO KIO partners,https://twitter.com/vesinfiltro/status/1100887637395734529,Ended,2/28/2019,,Unknown,,No,Unknown,,,,No,Yes,No,No,No,,,,CANTV,Unknown,,,No,Unknown,Unknown,,,Unknown,,,,LAC
,3/1/2019,Algeria,"It affected locations in more than one state, province, or region","Bordj Menaiel, parts of the capital, and Tizi Ouzou","Shutdown, Throttle","Broadband, Mobile",Full network,Executive government,,Protests,,News media article,"https://netblocks.org/reports/algeria-internet-disruptions-during-re-election-protests-eQyKwOyD

https://qz.com/africa/1563958/algeria-shuts-internet-amid-anti-bouteflika-election-protests/",Ended,3/1/2019,,Fake news/ Hate speech/ Incendiary content/ Promoting violence,stop the flow of information and coverage of the protestors’ demands,Unknown,No,,,,No,No,No,No,No,,No,,Algeria Telecom,Yes,https://qz.com/africa/1563958/algeria-shuts-internet-amid-anti-bouteflika-election-protests/,,No,No,Unknown,,,Unknown,,Internet disruption continues to spread across Algeria as public demonstrations calling on president Abdelaziz Bouteflika to vacate office intensify.,,MENA
,3/1/2019,India,"It affected more than one city in the same state, province, or region","Srinagar, Islamabad, Shopian, Pulwama and Kulgam districts of south Kashmir, Jammu and Kashmir","Shutdown, Throttle","Broadband, Mobile",Full network,State government,State government,Political instability,,News media article,https://kashmirlife.net/high-speed-internet-services-suspended-in-kashmir-parts-2-203370/,,,,Public safety/ Quell unrest/ Restore public order,Precautionary Measure,Yes,Yes,Section 144 of CrPC,,,No,No,No,No,No,,No,,,No,,,No,No,Unknown,Others,,Unknown,,Internet shutdown in Srinagar and parts of Kashmir valley as a Precautionary Measure to ensure law and order in the wake of the ban imposed on Jama’at-e-Islami (JeI) outfit by the home ministry last night and restrictions in parts of Kashmir.,,APAC
,3/1/2019,India,,"Handwara and Sopore, north Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,State government,Conflict,Military Action,News media article,https://www.hindustantimes.com/india-news/three-security-personnel-killed-in-encounter-with-militants-in-jammu-and-kashmir-s-kupwara/story-aL0XNLboZ0CfJdZ2EPEddP.html,,,,Other,Precautionary Measure,Yes,Unknown,,,,No,No,No,No,No,,No,,,No,,,No,Yes,Unknown,Others,,Unknown,,"Internet shutdown in Handwara and Sopore after a search operation turned into an encounter after militants opened fire at the security forces, who retaliated.",,APAC
,3/3/2019,Venezuela (Bolivarian Republic of),"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Information control,,CSO KIO partners,https://twitter.com/vesinfiltro/status/1102594584448811008,Ended,3/3/2019,,Unknown,,No,Unknown,,,,No,Yes,No,No,No,,,,CANTV,Unknown,,,No,Unknown,Unknown,,,Unknown,,,,LAC
,3/5/2019,India,"It only affected one city, county, or village","Mir Mohalla, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,,Conflict,Military Action,News media article,https://www.thedispatch.in/encounter-ensued-in-tral-mobile-data-suspended/,,,,Other,Precautionary Measure,Unknown,Unknown,,,,No,No,No,No,No,,No,,,No,,,No,Yes,Unknown,Others,,Unknown,,"Internet shutdown in Tral town after the militants fired at the security forces triggering the gunfight, following a search operation carried out by the security forces.",,APAC
,3/7/2019,India,"It only affected one city, county, or village","Handwara, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,State government,Other,Military Action,News media article,http://www.uniindia.com/militant-killed-in-kupwara-encounter-operation-on/north/news/1520689.html,,,,Fake news/ Hate speech/ Incendiary content/ Promoting violence,Precautionary Measure,Yes,Unknown,,,,No,No,No,No,No,,No,,,No,,,No,Yes,Unknown,Others,,Unknown,,Internet Shutdown in Handwara as a Precautionary Measure to ensure safety and prevent spread of rumours after after a terrorist was neutralised by the security forces,,APAC
,3/10/2019,India,"It only affected one city, county, or village","Tral, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,State government,Other,Military Action,News media article,http://www.uniindia.com/news/north/tral-encounter-three-militants-dead-operations-on/1524591.html,,,,Fake news/ Hate speech/ Incendiary content/ Promoting violence,Precautionary Measure,Unknown,Unknown,,,,No,No,No,No,No,,No,,,No,,,No,Yes,Unknown,Others,,Unknown,,"Internet shutdown in Tral town as a Precautionary Measure to prevent spread of rumours and ensure safety after three militants were neutralised by security forces, following a Cordon and Search operation (CASO)",,APAC
,3/11/2019,Yemen,"It only affected one city, county, or village",Hajjour regions,Shutdown,"Broadband, Mobile",Service-based,Non-government,Houthi militias,Conflict,,News media article,http://adengd.net/news/372861,Unknown,,,Unknown,,Unknown,Unknown,,,,,,,,,,No,,,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,,,MENA
,3/16/2019,India,"It only affected one city, county, or village","Kulgam, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,State government,Conflict,Military Action,News media article,https://kashmirlife.net/yaripora-shootout-internet-services-suspended-in-kulgam-204731/,,,,Public safety/ Quell unrest/ Restore public order,Precautionary Measure,Yes,Unknown,,,,No,No,No,No,No,,No,,,No,,,No,Yes,Unknown,Others,,Unknown,,Internet Shutdown in Kulgam district as a Precautionary Measure to ensure proper law and order following a shootout at Kujar Yaripora village of Kulgam.,,APAC
,3/16/2019,Russian Federation,"It only affected one city, county, or village",Ingushetia,Shutdown,"Broadband, Mobile",Full network,Executive government,Communications Authority,Protests,,News media article,https://www.znak.com/2019-03-25/zhitel_ingushetii_podal_isk_k_fsb_i_mvd_iz_za_otklyucheniy_interneta_v_dni_protestnyh_akciy,,,,Unknown,,Unknown,No,https://www.znak.com/2019-03-25/zhitel_ingushetii_podal_isk_k_fsb_i_mvd_iz_za_otklyucheniy_interneta_v_dni_protestnyh_akciy,,,No,No,No,No,No,,,,,Unknown,,,No,Unknown,Unknown,Others,,Unknown,,"Murad Khazbiev, a resident of Ingushetia, who participated in protests against changing the border with Chechnya, filed a lawsuit against the FSB and the Ministry of Internal Affairs in the Magassky District Court due to Internet outages during the rally.

Khazbiev demands to recognize the actions of law enforcement agencies illegal, because of which the residents of Ingushetia did not have the Internet on June 8, October 4-17, November 27, 2018, and March 16, 2019.",,EECA
,3/18/2019,India,,"Pulwama, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,State government,Conflict,Military Action,News media article,http://www.uniindia.com/news/north/sf-launch-caso-in-pulwama-clashes-erupt/1532351.html,,,,Fake news/ Hate speech/ Incendiary content/ Promoting violence,Precautionary Measure,Yes,Unknown,,,,No,No,No,No,No,,No,,,No,,,No,Yes,Unknown,Others,,Unknown,,Internet shutdown in Pulwama foellowing clashes erupted during the search operation that was carried out by the security forces,,APAC
,3/19/2019,India,"It affected more than one city in the same state, province, or region","Srinagar, Budgam, Awantipora and adjoining areas, southern Pulwama district, Parts of Kashmir Valley, Jammu and Kashmir","Shutdown, Throttle",Mobile,Full network,State government,State government,Other,Police brutality,News media article,"https://kashmirreader.com/2019/03/20/custodial-killing-of-school-teacher-kashmir-shuts-in-protest-train-services-mobile-internet-suspended/

https://www.business-standard.com/article/news-ians/violence-as-man-dies-in-police-custody-in-srinagar-119031900621_1.html

https://www.aljazeera.com/news/southasia/2019/03/clashes-kashmir-teacher-dies-police-custody-190319133729126.html

https://sputniknews.com/asia/201903191073363413-kashmiri-youth-dies-custody/",,,,Public safety/ Quell unrest/ Restore public order,Precautionary Measure,Yes,Unknown,,,,No,No,No,No,No,,No,,,No,,,No,Yes,Yes,Others,,Unknown,,"Following the custodial death of 28 year old, Rizwan Asad Pandit, in Pulwama district of Jammu & Kashmir, clashes broke out between security forces and stone-pelting youths. In the light of these instances Mobile Internet Services were suspended in Pulwama district on Tuesday 19th March 2019.",,APAC
,3/20/2019,India,"It only affected one city, county, or village","Shopian district, Jammu and Kashmir state",Shutdown,"Broadband, Mobile",Full network,State government,State government,Conflict,Military Action,News media article,https://www.newsnation.in/india-news/encounter-breaks-out-between-security-forces-terrorists-in-jammu-and-kashmirs-shopian-district-article-217754.html,,,,Other,Precautionary Measure,Unknown,Unknown,,,,No,No,No,No,No,,,,,No,,,No,Yes,Unknown,Others,,Unknown,,Internet shutdown in Shopiandistrict following an encounter between the security forces and terrorists,,APAC
,3/21/2019,India,"It only affected one city, county, or village","Sopore, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,State government,Conflict,Military Action,News media article,"https://www.livemint.com/news/india/three-gunfights-on-in-kashmir-valley-1-militant-killed-1553161159704.html

https://www.business-standard.com/article/news-ians/seven-killed-in-jammu-and-kashmir-gunfights-119032200268_1.html",Ended,3/22/2019,1,Other,Precautionary Measure,Unknown,Unknown,,,,No,No,No,No,No,,,,,No,,,No,Yes,Unknown,Others,,Unknown,,"Internet shutdown in Sopore as a precautinoary meausure to ensure security after a bomb was hurdled by the terrorists on a group of policemen, leading to an encounter.

Following the killings of six militants and a 12-year-old boy on Friday in three separate gunfights in Jammu and Kashmir, mobile internet services were suspended on 22nd March 2019 in the districts as a Precautionary Measure.",,APAC
,3/22/2019,India,"It only affected one city, county, or village","Shopian, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Service-based,State government,,Conflict,Military Action,Other,Facebook Transparency Report,Ended,3/24/2019,2,Other,Precautionary Measure,Unknown,Unknown,,,,Yes,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Possibly the following precautionary action affter the encounter in Sopore.,,APAC
,3/23/2019,Pakistan,"It affected more than one city in the same state, province, or region",Islamabad & Rawalpindi,Shutdown,Mobile,Full network,Executive government,Executive government,Religious holiday/anniversary,,CSO KIO partners,http://digitalrightsmonitor.pk/islamabad-under-partial-network-shutdown/,Ended,3/23/2019,,National security/ Counter-terrorism,,Unknown,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,No,No,Others,,Unknown,,"Mobile services were briefly suspended in parts of Islamabad and Rawalpindi in the wake of military parade on March 23.

March 23 is commemorated as ‘Pakistan Day’ for the passing of Lahore Resolution in 1940 that became the basis of an independent Pakistan. A national holiday is also observed on this day.

According to the residents Digital Rights Monitor talked to, services remained suspended for a few hours from around 8 AM to 12 PM.",,APAC
,3/26/2019,Russian Federation,"It only affected one city, county, or village",Ingushetia,Shutdown,"Broadband, Mobile",Full network,Executive government,,Protests,,CSO KIO partners,https://roskomsvoboda.org/46089/,Ended,4/1/2019,6,Technical problems/ Infrastructure failure,,Unknown,Unknown,,,,No,No,No,No,No,,Yes,,"ITT, Rostelecom",Yes,https://gazetaingush.ru/news/sboy-svyazi-v-ingushetii-proizoshel-iz-za-avarii-na-magistralnoy-linii-hashegulgov?fbclid=IwAR0gQ_q5pOcEy9dW6mRtyS75ibeHMD-B3vs_lpbp92dGJSIpp5bbRQHcYyg,,No,Unknown,Unknown,Others,,Unknown,,"Against the backdrop of mass protests in the Republic of Ingushetia, users note another “shutdown” of the Internet, both mobile (in the republic as a whole) and wired (so far only in Magas) - a Rostelecom representative explained this by an accident on the trunk line",,EECA
,3/28/2019,India,"It only affected one city, county, or village","Pulwama and Shopian, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,State government,Conflict,Military Action,News media article,https://thekashmirwalla.com/2019/03/pulwama-shopian-shut-against-militant-killings-clashes-erupt-mobile-internet-suspended/,Ended,3/28/2019,,Other,Precautionary Measure,Unknown,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet shutdown in twin district of Pulwama and Shopian following the killing of three local militants in south Kashmir’s Yarwan area of Keller village.,,APAC
,3/28/2019,India,"It only affected one city, county, or village","Kupwara, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,State government,Conflict,Military Action,News media article,http://www.uniindia.com/militant-killed-in-kupwara-high-hss-closed-internet-suspended/north/news/1543144.html,,,,Other,Precautionary Measure,Unknown,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet shutdown in Kupwara following gunning down of a terrorist after a Cordon and Search operation (CASO) was carried oput by the security forces,,APAC
,4/1/2019,India,"It only affected one city, county, or village","Lassipora area, Pulwama, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,State government,Conflict,Military Action,News media article,"https://www.newsx.com/national/pulwama-encounter-4-lashkar-terrorists-killed-3-security-personnel-injured-in-lassipora-area-internet-services-suspended

http://www.ddinews.gov.in/national/jk%C2%A0four-terrorists-killed-encounter-pulwama",,,,Other,Precautionary Measure,Unknown,Unknown,,,,No,No,No,No,No,,,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet shutdown in Lassipora area of Pulwama as a Precautionary Measure to ensure security after a gunfight broke between the security forces and terrorists in which four LeT terrorists were neutralised and three security forces were severly injured,,APAC
,4/1/2019,India,"It affected more than one city in the same state, province, or region",Punjab State,Shutdown,"Broadband, Mobile",Full network,State government,,Protests,,News media article,https://www.dailypioneer.com/2018/state-editions/punjab-to-shut-down-today.html,Ended,4/2/2019,1,Other,Precautionary Measure,Yes,Unknown,,,,,,,,,,Yes,,,Unknown,,,No,Unknown,Unknown,Others,,Unknown,,"In the view of strike calls by dalit groups in Punjab, expressing concerns over the alleged ""dilution"" of SCs/STs (Prevention of Atrocities) Act, the Punjab government has ordered suspension of Mobile Internet services (2G/3G/4G/CDMA), all SMS services and all dongle services etc, provided on mobile networks except voice calls in the territorial jurisdiction of the state of Punjab, from 5 pm on April 1, 2018, to 11 pm on April 2.",,APAC
,4/3/2019,India,"It only affected one city, county, or village","Tarn Taran district, Punjab",Shutdown,"Broadband, Mobile",Full network,State government,State government,Other,Military Action,News media article,"https://www.indiatvnews.com/news/india-pakistan-s-drone-spotted-in-punjab-s-khemkaran-sector-blackout-ordered-internet-services-shut-512401

https://www.newindianexpress.com/nation/2019/apr/04/pakistani-drone-which-entered-indian-airspace-in-punjab-shot-at-1960152.html",Ended,4/4/2019,1,Other,Precautionary Measure,Yes,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet shutdown in Khemkaran sector in Punjab after a Pakistani drone was spotted flying over the sector to spy on Indian security forces. The drone was later shot down. Electricity were shut at the same time.,,APAC
,4/5/2019,India,"It affected more than one city in the same state, province, or region","Srinagar, and South Jammu, Jammu and Kashmir","Shutdown, Throttle",Mobile,Full network,State government,State government,Political instability,,News media article,"https://indiablooms.com/news-details/N/48479/jammu-and-kashmir-mobile-internet-snapped-in-srinagar.html

https://scroll.in/latest/919061/j-k-clashes-break-out-between-inmates-and-staff-at-srinagar-central-jail",Ended,4/6/2019,1,Fake news/ Hate speech/ Incendiary content/ Promoting violence,Precautionary Measure,Yes,Unknown,,,,No,No,No,No,No,,No,,"BSNL, Airtel",Yes,https://indiablooms.com/news-details/N/48479/jammu-and-kashmir-mobile-internet-snapped-in-srinagar.html,,No,Unknown,Unknown,Others,,Unknown,,Internet shutdown in Srinagar to prevent the spread of rumours following clashes and fire in the Central jail.,,APAC
,4/6/2019,India,"It only affected one city, county, or village","Shopian, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,State government,Other,Military Action,News media article,http://www.uniindia.com/two-militants-killed-in-shopian-encounter/north/news/1554087.html,,,,Other,Precautionary Measure,Unknown,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet shutdown in Shopian to prevent spread of rumours following gunning down of two terrorists during a Cordon and Search Operation (CASO),,APAC
,4/7/2019,India,"It only affected one city, county, or village","Tral, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,State government,Other,Military Action,News media article,"http://www.uniindia.com/~/encounter-between-militants-security-forces-ensues-in-tral/States/news/1554700.html

 https://www.greaterkashmir.com/news/kashmir/militants-escape-after-brief-shootout-in-tral-forests/",Ended,4/15/2019,8,Fake news/ Hate speech/ Incendiary content/ Promoting violence,Precautionary Measure,Unknown,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,"In the light of an encounter between militants and security forces during a Cordon Search Operation in Trai region of South Pulwama district of Jammu and Kashmir, on Sunday 7th April 2019, mobile internet services were suspended as a Precautionary Measure to prevent the spreading of rumors.",,APAC
,4/7/2019,Sudan,"It only affected one city, county, or village",Khartoum,Shutdown,"Broadband, Mobile",Service-based,Executive government,,Protests,,News media article,https://netblocks.org/reports/social-media-disrupted-in-sudan-as-protests-converge-in-khartoum-peBONpAZ,Ended,4/8/2019,1,National security/ Counter-terrorism,,No,No,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,No,Yes,Yes,,,No,,,,MENA
,4/9/2019,India,"It affected more than one city in the same state, province, or region","Doda and Kishtwar, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,State government,Conflict,Military Action,News media article,https://www.greaterkashmir.com/news/kashmir/curfew-imposed-in-kishtwar-internet-suspended-after-rss-leader-attacked/319023.html,,,,Other,Precautionary Measure,Unknown,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet shutdown in Doda and Kishtwar to prevent law and order situation after the terrorists killes an RSS leader and his security personnel,,APAC
,4/11/2019,India,"It affected more than one city in the same state, province, or region","Baramulla and North Kashmir, Jammu and Kashmir","Shutdown, Throttle",Mobile,Full network,State government,State government,Elections,,News media article,http://www.uniindia.com/ls-polls-mobile-internet-suspended-in-north-kashmir/die/news/1559832.html,,,,Other,Precautionary Measure,Yes,Unknown,,,,No,No,No,No,No,,No,,BSNL,Unknown,,,Yes,Unknown,Unknown,Others,,Unknown,,Internet shutdown in Baramulla and speed reduced in other districts of North Kashmir to ensure security and free and fair elections during the 2019 general elections,,APAC
,4/11/2019,India,,"Shopian, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,State government,Conflict,Military Action,News media article,https://freepresskashmir.com/2019/04/13/shopian-20-civilians-injured-after-clashes-erupt-near-gunfight-site/,Ended,4/13/2019,2,Other,Precautionary Measure,Unknown,Unknown,,,,No,No,No,No,No,,,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet Shutdown in Shopian due to clashes erupted after gunning down of two terrorosts by the security forces,,APAC
,4/12/2019,Yemen,"It only affected one city, county, or village",Al Hudaydah,Shutdown,Broadband,Full network,Non-government,Houthi militias,Conflict,,News media article,https://www.youm7.com/story/2019/4/12/%D8%A7%D9%84%D9%8A%D9%85%D9%86-%D9%85%D9%84%D9%8A%D8%B4%D9%8A%D8%A7-%D8%A7%D9%84%D8%AD%D9%88%D8%AB%D9%8A-%D8%AA%D9%88%D9%82%D9%81-%D8%AE%D8%AF%D9%85%D8%A9-%D8%A7%D9%84%D8%A5%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D8%B9%D9%86-%D8%A7%D9%84%D8%AD%D8%AF%D9%8A%D8%AF%D8%A9/4203894,Unknown,,,Unknown,,Unknown,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,,,MENA
,4/16/2019,India,"It only affected one city, county, or village","Asansol, West Bengal state",Shutdown,"Broadband, Mobile",Full network,State government,State government,Communal violence,,News media article,https://www.telegraphindia.com/states/west-bengal/internet-banned-in-asansol-till-april-17/cid/1688912,Ended,4/17/2019,1,Public safety/ Quell unrest/ Restore public order,Precautionary Measure,Yes,Yes,Section 144 CrPC,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet Shutdown in Asansol Division of West Bengal after clashes erpted between communities over Ram Navmi processions in Barakar,,APAC
,4/17/2019,Yemen,"It only affected one city, county, or village",,Shutdown,Broadband,Full network,Unknown,,Unknown,,News media article,http://adengd.net/news/383426,Ended,5/1/2019,14,Unknown,,Unknown,Unknown,,,,,,,,,,No,,,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,,,MENA
,4/18/2019,India,"It affected more than one city in the same state, province, or region","Srinagar, Budgam and Ganderbal districts, Central and South Kashmir, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,State government,Elections,,News media article,"https://www.greaterkashmir.com/news/kashmir/lok-sabha-polls-kashmir-shuts-mobile-internet-suspended/

https://www.newsnation.in/election/lok-sabha-election-2019/mobile-internet-services-suspended-in-kashmir-parts-as-lok-sabha-polls-phase-2-begins-article-220972.html

http://www.newindianexpress.com/nation/2019/apr/18/normal-life-affected-due-to-strike-in-srinagar-lok-sabha-constituency-1965967.html",Ended,4/19/2019,1,Public safety/ Quell unrest/ Restore public order,Precautionary Measure,Yes,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,Yes,No,Unknown,Others,,Unknown,,Internet Shutdown in Kashmir Valley to ensure free and safe General Elections and prevent violence,,APAC
,4/20/2019,India,"It only affected one city, county, or village","Sikar district, Rajasthan state",Shutdown,"Broadband, Mobile",Full network,State government,State government,Communal violence,,News media article,http://www.newindianexpress.com/nation/2019/apr/20/tensions-rising-after-newly-wed-rajput-brides-abduction-in-rajasthans-sikar-1966796.html,Ended,4/20/2019,,Other,Precautionary Measure,Unknown,Unknown,,,,No,No,No,No,No,,No,,,No,,,No,Yes,Unknown,Others,,Unknown,,Internet Shutdown in Sikar district of Rajasthan for 12 hours to prevent clashes between groups after abduction of a nnewly wed bride,,APAC
,4/21/2019,Sri Lanka,"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Service-based,Executive government,The president,Information control,,CSO KIO partners,"https://netblocks.org/reports/social-media-blocked-in-sri-lanka-following-church-and-hotel-bombings-XaAwlQBM

https://www.theguardian.com/world/2019/apr/21/social-media-shut-down-in-sri-lanka-in-bid-to-stem-misinformation",Ended,4/30/2019,9,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,Yes,Unknown,,,"In a statement, Udaya R Seneviratne, from the office of the president, said the government had “taken steps to temporarily block all social media avenues until the investigations are concluded”.",Yes,Yes,Yes,Yes,Yes,,No,,"""Airtel (Bharti Airtel), Dialog (Axiata), Hutch (CK Hutchison), Mobitel (Sri Lanka Telecom)",Unknown,,,No,No,No,Others,,Unknown,,"The Sri Lankan government blocked access to social media sites in the aftermath of the attacks that killed at least 207 people, in a bid to stop a spread of misinformation that could lead to further violence.",,APAC
,4/22/2019,India,"It affected more than one city in the same state, province, or region","Kashmir Valley, Jammu and Kashmir",Unknown,Unknown,Service-based,Unknown,,Unknown,,Other,Facebook Transparency Report,Ended,4/24/2019,2,Unknown,,Unknown,Unknown,,,,Yes,No,No,No,No,,,,,Unknown,,,Unknown,Unknown,Unknown,Others,,Unknown,,This shutdown only showed up in Facebook Transparency Report. It's likely WhatsApp and Instagram are also affected.,,APAC
,4/23/2019,Tajikistan,"It affected locations in more than one state, province, or region",National,Unknown,Unknown,Service-based,Executive government,,Unknown,,Other,Facebook Transparency Report,Ended,5/8/2019,15,Unknown,,Unknown,Unknown,,,,Yes,,,,,,,,,Unknown,,,No,Unknown,Unknown,Others,,Unknown,,This shutdown only showed up in Facebook Transparency Report. It's likely WhatsApp and Instagram are also affected.,,EECA
,4/24/2019,India,"It affected more than one city in the same state, province, or region","Sikar, Rajasthan",Unknown,Unknown,Service-based,Unknown,,Unknown,,Other,Facebook Transparency Report,Ended,4/25/2019,1,Unknown,,Unknown,Unknown,,,,Yes,,,,,,,,,Unknown,,,Unknown,Unknown,Unknown,Others,,Unknown,,This shutdown only showed up in Facebook Transparency Report. It's likely WhatsApp and Instagram are also affected.,,APAC
,4/25/2019,India,"It only affected one city, county, or village","Anantnag, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,State government,Other,Military Action,News media article,"http://www.uniindia.com/~/life-comes-to-halt-in-parts-of-anantnag-due-to-strike-against-killing-of-2-militants-internet-suspended/States/news/1575787.html

https://www.business-standard.com/article/news-ians/2-hizbul-kashmiri-militants-killed-in-j-k-119042500215_1.html",,,,Public safety/ Quell unrest/ Restore public order,Precautionary Measure,Unknown,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet Shutdoen in Anantnag district of South Kashmir after gunning down of two Hizbul terrorist by the security forces,,APAC
,4/27/2019,Benin,"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile","Full network, Service-based",Executive government,,Elections,Protest,CSO KIO partners,"https://twitter.com/netblocks/status/1122449020243382272

https://techweez.com/2019/04/28/benin-social-media-blackout/
https://transparency.facebook.com/internet-disruptions",Ended,4/29/2019,2,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,Yes,Unknown,,,,Yes,Yes,Yes,Yes,Yes,VPN services,No,,MTN Moov (Marco Telecom),Unknown,,,Yes,Yes,Unknown,Others,,Yes,,Benin Shuts Down Social Media Access Amid Poll-Fueled Protests,,Africa
,4/27/2019,Venezuela (Bolivarian Republic of),"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Information control,,Social media,https://twitter.com/netblocks/status/1122218041964679174,Ended,4/27/2019,,Unknown,,No,Unknown,,,,No,Yes,No,Yes,No,,,,CANTV,Unknown,,,No,Unknown,Unknown,,,Unknown,,,,LAC
,4/27/2019,Yemen,"It only affected one city, county, or village",,Shutdown,Broadband,Full network,Non-government,,Unknown,,News media article,https://www.alsabahalyemeni.net/2019/04/%D8%A7%D9%86%D9%82%D8%B7%D8%A7%D8%B9-%D8%AE%D8%AF%D9%85%D8%A9-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D8%B9%D9%86-%D9%87%D8%B0%D9%87-%D8%A7%D9%84%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A7%D8%AA/,Ended,4/28/2019,1,Technical problems/ Infrastructure failure,,Yes,Unknown,,,,,,,,,,No,,,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,,,MENA
,4/29/2019,India,"It affected more than one city in the same state, province, or region","South Kashmir, Kashmir Valley, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,State government,Elections,,News media article,https://www.greaterkashmir.com/news/kashmir/ls-polls-shutdown-in-south-kashmirs-kulgam-train-service-mobile-internet-suspended/,Ended,4/30/2019,1,Other,Precautionary Measure,Yes,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,Yes,No,Unknown,Others,,Unknown,,Internet Shutdown in South Kashmir to ensure safety and security in the second phase of general elections in Jammu and Kashmir,,APAC
