start_date_type,start_date,country,geo_scope,area_name,shutdown_type,affected_network,shutdown_extent,ordered_by,decision_maker,actual_cause,actual_cause_details,info_source,info_source_link,shutdown_status,end_date,duration,gov_justification,gov_just_details,gov_ack,legal_just,legal_method,gov_ack_source,gov_ack_quote,facebook_affected,twitter_affected,whatsapp_affected,instagram_affected,telegram_affected,other_affected,sms_affected,phonecall_affected,telcos_involved,telco_ ack,telco_ack_source,telco_ack_quote,election,violence,hr_abuse_reported,users_targeted,users_target_detail,users_notified,econ_impact,event,an_link,region
,1/8/2019,India,"It affected more than one city in the same state, province, or region",State of Tripura,Shutdown,Mobile,Full network,State government,Tripura State Government,Communal violence,,News media article,"https://www.hindustantimes.com/india-news/tripura-suspends-sms-mobile-internet-for-two-days-amid-protest-against-citizenship-bill/story-fcbvbBnJTYPU3dRAHQEsBK.html

https://www.indiatoday.in/india/story/police-fire-at-protesters-of-citizenship-amendment-bill-mobile-internet-services-suspended-in-tripura-1427227-2019-01-09",Ended,1/12/2019,4,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,Yes,Yes,Section-144 of CrPC,,"In a notification, the home department said, “Incidents of rioting and arsoning have occurred in some areas in Jirania police station under West Tripura district and photographs of such incidents are being uploaded in the social media which may likely to generate serious law and order situation....” Those photos are likely to be used for transmission of fake information and to prevent this, use of SMS messages and mobile Internet/data services are being prohibited for 48 hours since 3 pm Tuesday, the notification said.",No,No,No,No,No,,Yes,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,The Tripura government on Tuesday suspended mobile Internet and SMS services in the entire state for two days in the apprehension of law and order problem following a clash in West Tripura district.,,APAC
,1/9/2019,India,"It only affected one city, county, or village","Pulwama district, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Jammu and Kashmir State Government,Conflict,Military Action,News media article,https://kashmirlife.net/internet-service-suspended-in-south-kashmirs-pulwama-197534/,,,,Unknown,,Unknown,No,,,,No,No,No,No,No,,No,,,Unknown,,,No,Unknown,Unknown,Others,,Unknown,,,,APAC
,1/12/2019,India,"It affected more than one city in the same state, province, or region","Anantnag, Kulgam, and Shopian, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Jammu and Kashmir State Government,Conflict,Military Action,News media article,"https://www.greaterkashmir.com/news/kashmir/two-militants-killed-in-kulgam-gunfight-internet-snapped/

https://freepresskashmir.com/2019/01/12/intense-clashes-erupt-near-kulgam-gunfight-site/

https://greaterkashmir.com/news/kashmir/shutdown-in-south-kashmir-s-shopian-internet-remains-suspended/309507.html",,,,Unknown,,Unknown,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet shutdown in twin districts of Anantnag and Kulgam following the gunfight in which two militants were killed iin Katapora village of Yaripora in south Kashmir's Kulgam district.,,APAC
,1/15/2019,Zimbabwe,"It affected locations in more than one state, province, or region",National,"Shutdown, Throttle","Broadband, Mobile","Full network, Service-based",Executive government,Vice President Office,Protests,Economic Crisis,News media article,https://www.accessnow.org/zimbabwe-orders-a-three-day-country-wide-internet-shutdown/,Ended,1/24/2019,9,National security/ Counter-terrorism,,Yes,No,http://zimbabwe.misa.org/2019/01/21/high-court-sets-aside-internet-shut-down-directives/,,,Yes,Yes,Yes,Yes,Yes,Tinder,No,,"Econet Wireless, Telecel (ZARNet), NetOne",Yes,"https://www.theindependent.co.zw/2019/01/18/legality-of-zims-internet-shutdown/

https://twitter.com/ProfJNMoyo/status/1085631077065150465/photo/1",,No,Yes,Yes,Others,,Yes,,"Amid the ongoing citizen protests triggered by a sharp increase in the price of fuel, the government has evidently resorted to plunging the whole country into darkness in an internet shutdown potentially impacting over 17 million people.",https://www.accessnow.org/zimbabwe-orders-a-three-day-country-wide-internet-shutdown/,Africa
,1/21/2019,India,"It affected more than one city in the same state, province, or region","Pulwama and Budgam, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Jammu and Kashmir State Government,Conflict,Military Action,News media article,"https://www.greaterkashmir.com/news/kashmir/budgam-gunfight-shutdown-clashes-internet-blockade-in-pulwama/310298.html

https://www.thedispatch.in/2-militants-killed-in-an-encounter-in-budgam/

https://www.thekashmirwalla.com/2019/01/budgam-gunfight-clashes-erupt-mobile-internet-suspended-in-district/",,,,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,Yes,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet shutdown in Pulwama after clashes broke out in south Kashmir's Pulwama district on Monday after the news about the death of three local militants in Budgam spread in the area.,,APAC
,1/21/2019,Venezuela (Bolivarian Republic of),"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Protests,,News media article,"https://ooni.org/post/venezuela-blocking-wikipedia-and-social-media-2019/
https://netblocks.org/reports/venezuela-social-media-restricted-amid-caracas-incident-zgBLoXA4",Ended,1/21/2019,2 hours,Unknown,,No,Unknown,,,,No,Yes,No,Yes,No,,,,CANTV,Unknown,,,No,Unknown,Unknown,,,Unknown,,,,LAC
,1/22/2019,India,"It only affected one city, county, or village","Shopian, jammu and Kashmir",Shutdown,Mobile,Full network,State government,Jammu and Kashmir State Government,Other,Military Action,News media article,https://kashmirlife.net/shopian-gunfight-internet-service-suspended-in-district-199382/,,,,Other,Precautionary Measure,Yes,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,"Authorities on Tuesday morning suspended the mobile internet service in south Kashmir’s Shopian district, following a gunfight in Heff Shirmal area of the district.",,APAC
,1/23/2019,India,"It only affected one city, county, or village","Baramulla, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Jammu and Kashmir State Government,Conflict,Military Action,News media article,https://www.greaterkashmir.com/news/kashmir/baramulla-gunfight-fallout-internet-suspended/310474.html,,,,Other,Precautionary Measure,Yes,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet service was suspended in north Kashmir’s Baramulla soon after a gunfight broke out between the militants and the government forces in the district.,,APAC
,1/24/2019,India,"It only affected one city, county, or village","Kendrapara, Odisha",Shutdown,Mobile,Full network,Local government,Kendrapara District Government,Communal violence,,News media article,"https://www.deccanherald.com/national/internet-services-suspended-714715.html

http://www.millenniumpost.in/nation/internet-services-suspended-in-odishas-kpara-district-337819",Ended,1/25/2019,1,Other,Precautionary Measure,Yes,Yes,Section-144 of CrPC,,"""Net connectivity has been disabled in the urban areas. We took recourse to such precautionary steps to prevent breach of peace in sensitive areas,"" Kendrapara District Collector Dasarathy Satpathy said.",No,No,No,No,No,,No,,,Unknown,,,No,Unknown,Unknown,Others,,Unknown,,Internet shutdown in Kendrapada following communal clashes during Netaji's birthday celebration.,,APAC
,1/25/2019,Venezuela (Bolivarian Republic of),"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Unknown,,News media article,"https://ooni.org/post/venezuela-blocking-wikipedia-and-social-media-2019/
https://apnews.com/d99b8fe46b434d3bb966b7531e04bf6e",Ended,1/25/2019,,Unknown,,No,Unknown,,,,No,No,No,Yes,No,,,,CANTV,Unknown,,,No,Unknown,Unknown,,,Unknown,,,,LAC
,1/26/2019,India,"It affected more than one city in the same state, province, or region",Kashmir,Shutdown,Mobile,Full network,State government,Jammu and Kashmir State Government,Religious holiday/anniversary,,News media article,"http://www.uniindia.com/~/republic-day-mobile-internet-service-suspended-in-kashmir/States/news/1479446.html

https://www.tribuneindia.com/news/jammu-kashmir/mobile-internet-services-suspended-in-kashmir-in-view-of-r-day/719570.html",Ended,1/27/2019,1,Other,Precautionary Measure,Yes,Unknown,,,"Mobile internet services were snapped in the early hours as stringent security arrangements were put in place for Republic Day celebrations across Kashmir Valley, a police official said.

He said the services were snapped as a Precautionary Measure.",No,No,No,No,No,,No,,"Bharat Sanchar Nigam Limited (BSNL), Airtel",Yes,http://www.uniindia.com/~/republic-day-mobile-internet-service-suspended-in-kashmir/States/news/1479446.html,,No,Unknown,Unknown,Others,,Unknown,,Internet shutdown in the Kashmir Valley to ensure law and order and peace on Republic day,,APAC
,1/26/2019,Venezuela (Bolivarian Republic of),"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Information control,,News media article,"https://ooni.org/post/venezuela-blocking-wikipedia-and-social-media-2019/
https://apnews.com/d99b8fe46b434d3bb966b7531e04bf6e",Ended,1/26/2019,,Unknown,,No,Unknown,,,,Yes,Yes,No,Yes,No,,,,CANTV,Unknown,,,No,Unknown,Unknown,,,Unknown,,,,LAC
,1/29/2019,Yemen,"It only affected one city, county, or village",Mukalla,Shutdown,Broadband,Full network,Non-government,Unknown,Unknown,,News media article,http://adengd.net/news/363330,Unknown,,,Unknown,,Unknown,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,,,MENA
,2/1/2019,India,"It affected more than one city in the same state, province, or region","Pulwama and Shopian, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Jammu and Kashmir State Government,Conflict,Military Action,News media article,https://newsroompost.com/india/2-jem-militants-killed-in-jk-mobile-internet-facility-suspended-in-pulwama-and-shopian-districts/430493.html,,,,Unknown,,Unknown,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet shutdown in Pulwama and Shopian in South Kashmir after security forces gunned down two LeT militants and carried out a search operation in the area,,APAC
,2/3/2019,India,"It only affected one city, county, or village","Srinagar, jammu and Kashmir",Shutdown,Mobile,Full network,State government,Jammu and Kashmir State Government,Visits by government officials,,News media article,"https://www.thehindu.com/news/national/internet-services-snapped-in-srinagar-ahead-of-pms-visit/article26166768.ece

https://kashmirlife.net/mobile-internet-services-restored-2-200598/",Ended,2/4/2019,1,Other,Precautionary Measure,Yes,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,Unknown,Unknown,Others,,Unknown,,Internet shutdown in Srinagar to ensure law and order during PM's Kashmir visit to ensure that PM'svisit passes off smoothly.,,APAC
,2/6/2019,India,"It only affected one city, county, or village","Pulwama, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Jammu and Kashmir State Government,Conflict,Military Action,News media article,https://greaterkashmir.com/news/kashmir/internet-snapped-in-pulwama-after-lashkar-commander-killed-in-shootout/312042.html,,,,Unknown,,Unknown,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,Unknown,Unknown,Others,,Unknown,,Internet Shutdown in Pulwama district of South Kashmir after security forces gunned down a terrorist in Chakoora village of Pulwama,,APAC
,2/10/2019,India,"It only affected one city, county, or village","Kulgam, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Jammu and Kashmir State Government,Other,Military Action,News media article,http://www.uniindia.com/3-militants-killed-in-ongoing-kulgam-encounter/north/news/1494948.html,,,,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,Yes,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet Shutdown in Kulgam district od South Kashmir to ensure safety and prevent spread of rumours after the security forces gunned down three terrorists and carried out a search operation in the area.,,APAC
,2/12/2019,India,"It affected more than one city in the same state, province, or region","Imphal and several other places, Manipur",Shutdown,Mobile,Full network,Local government,Imphal East District Magistrate Chitra Devi and other authorities in Manipur,Protests,Political Instability,News media article,"https://scroll.in/latest/912917/citizenship-bill-to-be-tabled-in-rajya-sabha-prohibitory-orders-issued-in-imphal-ahead-of-protests

http://www.uniindia.com/curfew-imposed-internet-service-suspended-as-stir-against-citizenship-bill-intensifies-in-manipur/east/news/1496777.html

https://indianexpress.com/article/north-east-india/manipur/citizenship-bill-protests-curfew-imposed-in-imphal-mobile-internet-shut-across-manipur-5579751/",Ended,2/17/2019,5,Public safety/ Quell unrest/ Restore public order,https://twitter.com/ANI/status/1095109454108872706?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1095109454108872706&ref_url=https%3A%2F%2Fscroll.in%2Flatest%2F912917%2Fcitizenship-bill-to-be-tabled-in-rajya-sabha-prohibitory-orders-issued-in-imphal-ahead-of-protests,Yes,Yes,Section-144 of CrPC,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet shutdown in Manipur state amid possibility of violent protests to oppose the introduction of Citizenship Amendments Bill in the Indian Parliament,,APAC
,2/12/2019,India,"It only affected one city, county, or village","Pulwama, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Jammu and Kashmir State Government,Conflict,Military Action,News media article,"http://www.uniindia.com/news/north/encounter-in-pulwama-2-militants-killed-two-jawans-martyred/1496802.html

https://www.thehansindia.com/posts/index/Latest-News/2019-02-12/2-soldiers-militant-killed-in-JK-gunfight/493242",,,,Unknown,,Unknown,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet shutdown after two militants were killed and two soldiers were martyred in a fierce encounter ensured during a Cordon and Search Operation (CASO) in Pulwama district,,APAC
,2/12/2019,India,"It only affected one city, county, or village","Sawai Madhopur district, Rajasthan",Shutdown,"Broadband, Mobile",Full network,Local government,District Officials,Protests,,News media article,"https://scroll.in/latest/912977/rajasthan-gujjar-protests-internet-services-suspended-in-sawai-madhopur-district-till-wednesday

https://www.newsnation.in/india-news/gujjar-community-stir-agitation-rajasthan-sawai-madhopur-trains-affected-internet-suspended-gurjar-kirori-singh-bainsla-chief-minister-ashok-gehlot-article-213872.html",Ended,2/13/2019,1,Other,Precautionary Measure,Yes,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,Unknown,Unknown,Others,,Unknown,,Internet Shutdown in Sawai Madhopur district of Rajasthan after the Gujjar reservation protest entered its fifth dayand taken over the railway tracks hampering movements of trains,,APAC
,2/12/2019,India,"It only affected one city, county, or village","Pulwama district, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,State Government,Conflict,Military Action,News media article,http://www.uniindia.com/news/north/encounter-in-pulwama-2-militants-killed-two-jawans-martyred/1496802.html,,,,Other,Precautionary Measure,Unknown,Unknown,,,,,,,,,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet shutdown after two militants were killed and two soldiers were martyred in a fierce encounter ensured during a Cordon and Search Operation (CASO) in Pulwama district,,APAC
,2/13/2019,India,"It only affected one city, county, or village","Aligarh district, Uttar pradesh",Shutdown,"Broadband, Mobile",Full network,Local government,District Officials,Communal violence,,News media article,"https://timesofindia.indiatimes.com/city/agra/internet-suspended-for-24-hours-in-aligarh-following-amu-clash/articleshow/67981464.cms

https://www.indiatoday.in/india/story/amu-sedition-case-agitation-aligarh-1455057-2019-02-13",Ended,2/14/2019,1,Other,Precautionary Measure,Yes,Yes,Section 144 of CrPC,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet Shutdown in Aligarh district following a clash between student groups where several student were injured.,,APAC
,2/14/2019,India,"It affected more than one city in the same state, province, or region","Srinagar, South Kashmir, Kashmir Valley, Jammu and Kashmir","Shutdown, Throttle",Mobile,Full network,State government,Jammu and Kashmir State Government,Other,Military Action,News media article,"https://timesofindia.indiatimes.com/india/pulwama-attack-mobile-internet-shut-in-south-kashmir-speed-reduced-to-2g-level-in-srinagar/articleshow/67998777.cms
https://www.firstpost.com/india/pulwama-attack-live-updates-internet-services-snapped-in-south-kashmir-cabinet-committee-on-security-to-meet-tomorrow-6087641.html",Ended,2/15/2019,1,Other,Precautionary Measure,Yes,Yes,Martial Law,,,No,No,No,No,No,Internet suspended in South Kashmir and speed reduced to 2G in Srinagar,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet shutdown in South Kashmir and speed reduced to 2G in Srinagar as a Precautionary Measure to prevent the spread of rumours and ensure security following one of the most deadliest attacks on Indian Security Forces in which 44 soldiers were martyred.,,APAC
,2/15/2019,India,"It affected more than one city in the same state, province, or region","Jammu, Jammu and Kashmir",Shutdown,Mobile,Full network,State government,Jammu authorities,Communal violence,,News media article,"https://economictimes.indiatimes.com/news/defence/curfew-continues-in-jammu-army-stages-flag-march-for-second-day/articleshow/68022622.cms

https://www.indiatoday.in/india/video/curfew-in-jammu-till-evening-internet-services-remain-blocked-1458087-2019-02-17

https://www.greaterkashmir.com/news/jammu/life-limping-back-to-normal-in-jammu-2/",Ended,2/20/2019,5,Public safety/ Quell unrest/ Restore public order,Peace,Yes,Unknown,,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet shutdown in Jammu following the protest by local citizens and groups against Pakistan after the deadly attack on Indian souldiers in Pulwama,,APAC
,2/18/2019,India,"It only affected one city, county, or village","Pinglan, Pulwama district, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,Jammu and Kashmir State Government,Conflict,Military Action,News media article,https://www.newsnation.in/india-news/jk-major-among-4-army-men-killed-in-overnight-encounter-in-pulwamas-pinglan-internet-services-suspended--article-214466.html,Ended,2/19/2019,1,None,,No,No,,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Minority Groups,,Unknown,,Internet shutdown in Pinglan area of Pulwama district as a Precautionary Measure to ensure safety following an encounter of security forces with terrorists in which four soldiers were martyred and three terrorists were killed,,APAC
,2/21/2019,Algeria,"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Service-based,Executive government,,Protests,,Other,https://transparency.facebook.com/internet-disruptions,Ended,2/21/2019,,Unknown,,Unknown,Unknown,,,,Yes,No,No,No,No,,,,,Unknown,,,No,Unknown,Unknown,,,Unknown,,,,MENA
,2/22/2019,Algeria,"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Full network,Executive government,,Protests,,News media article,"https://netblocks.org/reports/algeria-internet-disruptions-amid-mass-demonstrations-WJBZjMB6
https://transparency.facebook.com/internet-disruptions",Ended,2/23/2019,1,Unknown,,Unknown,Unknown,,,,No,No,No,No,No,,,,"Ooredoo (NMTC) Mobilis (Algerie Telecom)
Djezzy",Unknown,,,No,Yes,Yes,,,Unknown,,,,MENA
,2/22/2019,India,"It only affected one city, county, or village","Sopore, Jammu and Kashmir",Shutdown,"Broadband, Mobile",Full network,State government,State Government,Conflict,Military Action,News media article,https://indianexpress.com/article/india/sopore-encounter-live-updates-jammu-and-kashmir-5595723/,,,,Other,Precautionary Measure,Yes,Yes,Section 144 of CrPC,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Others,,Unknown,,Internet shutdown in Sopore town following an encounter in which two terrorists were neutralised by the security forces.,,APAC
,2/23/2019,India,"It only affected one city, county, or village","Itanagar, Arunachal Pradesh",Shutdown,"Broadband, Mobile",Full network,State government,State Home Commissioner G. S. Meena,Protests,,News media article,http://www.newindianexpress.com/nation/2019/feb/23/arunachal-prc-bandh-curfew-clamped-internet-services-suspended-after-mob-violence-1942771.html,Ended,3/1/2019,6,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,Yes,Yes,Section 144 of CrPC,,,No,No,No,No,No,,No,,,Unknown,,,No,Yes,Unknown,Minority Groups,,Unknown,,"Internet shutdown in Itanagar, capital of Arunachal Pradesh after a strike was called by 18 organisations protesting against the state government’s move to grant permanent resident certificate (PRC) to six non-tribal communities. The protests turned out so violent that they torched several public properties and houses of higher ranking officers and Ministers of the state.",,APAC
