start_date_type,start_date,country,geo_scope,area_name,shutdown_type,affected_network,shutdown_extent,ordered_by,decision_maker,actual_cause,actual_cause_details,info_source,info_source_link,shutdown_status,end_date,duration,gov_justification,gov_just_details,gov_ack,legal_just,legal_method,gov_ack_source,gov_ack_quote,facebook_affected,twitter_affected,whatsapp_affected,instagram_affected,telegram_affected,other_affected,sms_affected,phonecall_affected,telcos_involved,telco_ack,telco_ack_source,telco_ack_quote,election,violence,hr_abuse_reported,users_targeted,users_target_detail,users_notified,econ_impact,event,an_link,region
,8/24/2017,India,"It affected locations in more than one state, province, or region","Punjab state, Haryana state, Chandigarh city (at the intersection of the Punjab and Haryana but part of no state), and the Sriganganagar district and Hanumangarh district in Rajasthan state.",Shutdown,"Broadband, Mobile",Full network,Local government,,Other,,News media article,"http://www.hindustantimes.com/punjab/mobile-internet-services-likely-to-resume-in-chandigarh-tonight/story-UGXVgdWetlRjEde4jBJQAN.html, http://www.thehindu.com/news/national/other-states/ram-rahim-verdict-violence-in-sriganganagar-prohibitory-orders-imposed/article19562071.ece, http://www.thehindu.com/news/national/other-states/ram-rahim-verdict-violence-in-sriganganagar-prohibitory-orders-imposed/article19562071.ece, http://indianexpress.com/article/india/gurmeet-ram-rahim-singh-dera-sacha-sauda-chief-rape-case-cbi-punjab-haryana-security-dera-followers-live-updates-4810979/",,8/29/2017,5,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,Yes,,,,,,,,,,,,,"A guilty verdict in rape case against Gurmeet Ram Rahim, the leader of Dera Sacha Sauda (a large political and religious group sometimes described as a cult), leading to mass demonstrations and rioting by his supporters. Among the largest complete internet blackouts recorded. Mobile internet and SMS. SMS may not have been restricted in the Rajasthan portion of the shutdown. The shutdown started preemptively before the verdict was announced. Mobile internet and SMS were shut down. SMS may not have been restricted in the Rajasthan portion of the shutdown. Haryana on August 24 for 72 hours (as a precaution). The shutdown was extended until August 29. In seven districts of Haryana, the shutdown kept going untilt August 30.",,APAC
,8/25/2017,India,"It affected more than one city in the same state, province, or region",districts of Sriganganagar and Hanumangarh,Shutdown,"Broadband, Mobile",Full network,Local government,,Unknown,,News media article,http://www.thehindu.com/news/national/other-states/ram-rahim-verdict-violence-in-sriganganagar-prohibitory-orders-imposed/article19562071.ece,,8/27/2017,2,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,8/26/2017,India,"It only affected one city, county, or village","Pulwama district, Jammu & Kashmir state",Shutdown,"Broadband, Mobile",Full network,Local government,,Protests,,News media article,"http://kashmirlife.net/dpl-pulwama-attack-internet-services-suspended-in-southern-kashmir-district-149117/, http://www.greaterkashmir.com/news/kashmir/internet-services-suspended-in-pulwama-after-fidayeen-storm-district-police-lines/258693.html",,,,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,Fidayeen attack (suicidal standoff tactic) by militants on police,,APAC
,8/26/2017,Iraq,"It affected locations in more than one state, province, or region",nationwide,Throttle,"Broadband, Mobile",Full network,Unknown,,Unknown,,Social media,https://twitter.com/Muhannad_Munjed/status/901405293942329345,,,,School Exams,,,,,,,,,,,,,,,,,,,,,,,,,,,,MENA
,9/1/2017,India,"It only affected one city, county, or village","Kupwara district, Jammu & Kashmir state",Shutdown,"Broadband, Mobile",Full network,Unknown,,Unknown,,News media article,"http://brighterkashmir.com/internet-services-snapped-again-in-kashmirs-kupwara-district/, http://thekashmiriyat.co.uk/index.php/2017-03-28-14-56-00/articles/item/1728-army-thrashes-civilian-in-lolab-another-youth-still-missing",,9/2/2017,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Protests by locals agains the alleged kidnapping of a man by the army.,,APAC
,9/2/2017,India,"It affected more than one city in the same state, province, or region","Shopian district and Kulgam district, Jammu & Kashmir state",Shutdown,"Broadband, Mobile",Full network,Unknown,,Political instability,,News media article,https://www.indiatoday.in/india/story/jammu-and-kashmir-terrorist-kulgam-behibagh-encounter-1036346-2017-09-02,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Clashes broke out following the killing of a Lashkar-e-Taiba militant in an encounter with the security forces.,,APAC
,9/4/2017,India,"It only affected one city, county, or village","Kupwara district, Jammu & Kashmir state",Shutdown,"Broadband, Mobile",Full network,Unknown,,Political instability,,News media article,http://brighterkashmir.com/internet-services-snapped-again-in-kashmirs-kupwara-district/,,,,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,Precautionary measure after two separatist Hizbul Mujahideen militants were killed in a gunfight in the Sopore district of Kashmir.,,APAC
,9/5/2017,India,"It affected more than one city in the same state, province, or region",Seven districts in Bihar state,Shutdown,"Broadband, Mobile",Full network,Unknown,,Unknown,,News media article,http://www.hindustantimes.com/india-news/internet-services-suspended-in-7-districts-of-bihar-after-carcasses-found-floating-in-canal/story-QI1kptjbOc4fMA7gpeofwJ.html,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,9/5/2017,Togo,"It affected locations in more than one state, province, or region",nationwide,Throttle,Mobile,Full network,Executive government,,Protests,,Confidential,"http://www.bbc.com/news/world-africa-41174005, https://cdn.app.compendium.com/uploads/user/e7c690e8-6ff9-102a-ac6d-e4aebca50425/72887f09-3f3b-4690-a42a-3b34d937398a/Image/85b35c8324959051850023afc1ee8b3b/togo.png",,11/7/2017,63,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,Protests against the rule of President Faure Gnassingbé.,,Africa
,9/8/2017,India,"It affected more than one city in the same state, province, or region",Sirsa district in Haryana state,Shutdown,"Broadband, Mobile",Full network,Local government,,Political instability,,News media article,http://www.livemint.com/Politics/mg1CAv5kKUBkE8IBEBGBVI/Mobile-internet-services-suspended-in-Sirsa.html,,9/10/2017,2,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,"Sanitisation' process being carried by the government at the headquarters compound of Dera Sacha Sauda, a religous and political group who had been provoked a crackdown by massively protesting the conviction of their leader, Gurmeet Ram Rahim Singh, for rape.",,APAC
